cod, descricao
v086,Homens alfabetizados com 5 ou mais anos de idade
v087,Homens alfabetizados com 5 anos de idade
v088,Homens alfabetizados com 6 anos de idade
v089,Homens alfabetizados com 7 anos de idade
v090,Homens alfabetizados com 8 anos de idade
v091,Homens alfabetizados com 9 anos de idade
v092,Homens alfabetizados com 10 anos de idade
v093,Homens alfabetizados com 11 anos de idade
v094,Homens alfabetizados com 12 anos de idade
v095,Homens alfabetizados com 13 anos de idade
v096,Homens alfabetizados com 14 anos de idade
v097,Homens alfabetizados com 15 anos de idade
v098,Homens alfabetizados com 16 anos de idade
v099,Homens alfabetizados com 17 anos de idade
v100,Homens alfabetizados com 18 anos de idade
v101,Homens alfabetizados com 19 anos de idade
v102,Homens alfabetizados com 20 anos de idade
v103,Homens alfabetizados com 21 anos de idade
v104,Homens alfabetizados com 22 anos de idade
v105,Homens alfabetizados com 23 anos de idade
v106,Homens alfabetizados com 24 anos de idade
v107,Homens alfabetizados com 25 anos de idade
v108,Homens alfabetizados com 26 anos de idade
v109,Homens alfabetizados com 27 anos de idade
v110,Homens alfabetizados com 28 anos de idade
v111,Homens alfabetizados com 29 anos de idade
v112,Homens alfabetizados com 30 anos de idade
v113,Homens alfabetizados com 31 anos de idade
v114,Homens alfabetizados com 32 anos de idade
v115,Homens alfabetizados com 33 anos de idade
v116,Homens alfabetizados com 34 anos de idade
v117,Homens alfabetizados com 35 anos de idade
v118,Homens alfabetizados com 36 anos de idade
v119,Homens alfabetizados com 37 anos de idade
v120,Homens alfabetizados com 38 anos de idade
v121,Homens alfabetizados com 39 anos de idade
v122,Homens alfabetizados com 40 anos de idade
v123,Homens alfabetizados com 41 anos de idade
v124,Homens alfabetizados com 42 anos de idade
v125,Homens alfabetizados com 43 anos de idade
v126,Homens alfabetizados com 44 anos de idade
v127,Homens alfabetizados com 45 anos de idade
v128,Homens alfabetizados com 46 anos de idade
v129,Homens alfabetizados com 47 anos de idade
v130,Homens alfabetizados com 48 anos de idade
v131,Homens alfabetizados com 49 anos de idade
v132,Homens alfabetizados com 50 anos de idade
v133,Homens alfabetizados com 51 anos de idade
v134,Homens alfabetizados com 52 anos de idade
v135,Homens alfabetizados com 53 anos de idade
v136,Homens alfabetizados com 54 anos de idade
v137,Homens alfabetizados com 55 anos de idade
v138,Homens alfabetizados com 56 anos de idade
v139,Homens alfabetizados com 57 anos de idade
v140,Homens alfabetizados com 58 anos de idade
v141,Homens alfabetizados com 59 anos de idade
v142,Homens alfabetizados com 60 anos de idade
v143,Homens alfabetizados com 61 anos de idade
v144,Homens alfabetizados com 62 anos de idade
v145,Homens alfabetizados com 63 anos de idade
v146,Homens alfabetizados com 64 anos de idade
v147,Homens alfabetizados com 65 anos de idade
v148,Homens alfabetizados com 66 anos de idade
v149,Homens alfabetizados com 67 anos de idade
v150,Homens alfabetizados com 68 anos de idade
v151,Homens alfabetizados com 69 anos de idade
v152,Homens alfabetizados com 70 anos de idade
v153,Homens alfabetizados com 71 anos de idade
v154,Homens alfabetizados com 72 anos de idade
v155,Homens alfabetizados com 73 anos de idade
v156,Homens alfabetizados com 74 anos de idade
v157,Homens alfabetizados com 75 anos de idade
v158,Homens alfabetizados com 76 anos de idade
v159,Homens alfabetizados com 77 anos de idade
v160,Homens alfabetizados com 78 anos de idade
v161,Homens alfabetizados com 79 anos de idade
v162,Homens alfabetizados com 80 ou mais anos de idade
v163,Homens responsáveis alfabetizados com 10 ou mais anos de idade em domicílios particulares
